date,commodity_en,commodity_ne,unit_en,unit_ne,min,max,avg
2026-06-25,Amba,अम्बा,Kg,के.जी.,200.0,220.0,210.0
2026-06-25,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,240.0,300.0,270.0
2026-06-25,Apple (Jhole),स्याउ (झोले),Kg,के.जी.,170.0,200.0,185.0
2026-06-25,Arum,पिंडालु,Kg,के.जी.,40.0,45.0,42.5
2026-06-25,Banana (Green),केरा (हरियो),Dozen,दर्जन,100.0,120.0,110.0
2026-06-25,Banana (Malbhog),केरा (मालभोग),Dozen,दर्जन,140.0,160.0,150.0
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,30.0,35.0,32.5
2026-06-25,Bottle Gourd,लौका,Kg,के.जी.,15.0,20.0,17.5
2026-06-25,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,15.0,20.0,17.5
2026-06-25,Brinjal Round,भन्टा डल्लो,Kg,के.जी.,15.0,20.0,17.5
2026-06-25,Broad Leaf Mustard,रायो साग,Kg,के.जी.,50.0,80.0,65.0
2026-06-25,Cabbage (Local),बन्दा (लोकल),Kg,के.जी.,40.0,50.0,45.0
2026-06-25,Capsicum,भेडे खुर्सानी,Kg,के.जी.,90.0,100.0,95.0
2026-06-25,Carrot (Local),गाँजर (लोकल),Kg,के.जी.,80.0,90.0,85.0
2026-06-25,Carrot (Nepali),गाँजर (नेपाली),Kg,के.जी.,80.0,90.0,85.0
2026-06-25,Cauliflower (Local),काउली (स्थानीय),Kg,के.जी.,60.0,70.0,65.0
2026-06-25,Chilli Green (Akbare),खुर्सानी हरियो (अकबरे),Kg,के.जी.,140.0,150.0,145.0
2026-06-25,Chilli Green (Bullet),खुर्सानी हरियो (बुलेट),Kg,के.जी.,40.0,45.0,42.5
2026-06-25,Chilli Green (Long),खुर्सानी हरियो (लाम्चो),Kg,के.जी.,50.0,60.0,55.0
2026-06-25,Chilli Green (Machhe),खुर्सानी हरियो (माछे),Kg,के.जी.,40.0,60.0,50.0
2026-06-25,Coconut (Green),नरिवल (हरियो),Kg,के.जी.,65.0,70.0,67.5
2026-06-25,Coconut (Tender),नरिवल (काँचो),Kg,के.जी.,55.0,60.0,57.5
2026-06-25,Coriander Green,हरियो धनिया,Kg,के.जी.,80.0,100.0,90.0
2026-06-25,Cow Pea (Long),बोडी (तने),Kg,के.जी.,20.0,30.0,25.0
2026-06-25,Cucumber (Hybrid),काँक्रो (हाइब्रिड),Kg,के.जी.,20.0,25.0,22.5
2026-06-25,Cucumber (Local),काँक्रो (लोकल),Kg,के.जी.,60.0,70.0,65.0
2026-06-25,Dragon Fruit (Nepali),ड्रागन फ्रुट (नेपाली),Kg,के.जी.,300.0,350.0,325.0
2026-06-25,French Bean (Hybrid),घिउ सिमी (हाइब्रिड),Kg,के.जी.,30.0,35.0,32.5
