date,commodity_en,commodity_ne,unit_en,unit_ne,min,max,avg
2026-06-25,Amba,अम्बा,Kg,के.जी.,120.0,150.0,135.0
2026-06-25,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,250.0,280.0,265.0
2026-06-25,Apple (Jhole),स्याउ (झोले),Kg,के.जी.,200.0,225.0,212.5
2026-06-25,Arum,पिंडालु,Kg,के.जी.,40.0,50.0,45.0
2026-06-25,Asparagus,कुरीलो,Kg,के.जी.,300.0,320.0,310.0
2026-06-25,Avocado,आभोकाडो,Kg,के.जी.,225.0,250.0,237.5
2026-06-25,Bamboo Shoot,तामा,Kg,के.जी.,60.0,70.0,65.0
2026-06-25,Banana (Green),केरा (हरियो),Dozen,दर्जन,50.0,60.0,55.0
2026-06-25,Banana (Indian),केरा (भारतीय),Dozen,दर्जन,70.0,80.0,75.0
2026-06-25,Banana (Malbhog),केरा (मालभोग),Dozen,दर्जन,80.0,100.0,90.0
2026-06-25,Banana (Nepali),केरा (नेपाली),Dozen,दर्जन,70.0,80.0,75.0
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,25.0,30.0,27.5
2026-06-25,Bottle Gourd,लौका,Kg,के.जी.,22.0,24.0,23.0
2026-06-25,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,20.0,22.0,21.0
2026-06-25,Brinjal Round,भन्टा डल्लो,Kg,के.जी.,22.0,28.0,25.0
2026-06-25,Broad Leaf Mustard,रायो साग,Kg,के.जी.,40.0,50.0,45.0
2026-06-25,Broccoli,ब्रोकाउली,Kg,के.जी.,125.0,150.0,137.5
2026-06-25,Buffalo Milk,भैसीको दुध,Litre,लिटर,90.0,100.0,95.0
2026-06-25,Butter,मखन,Kg,के.जी.,800.0,800.0,800.0
2026-06-25,Cabbage (Coconut),बन्दा (नरिवल),Kg,के.जी.,30.0,32.0,31.0
2026-06-25,Cabbage (Local),बन्दा (लोकल),Kg,के.जी.,30.0,32.0,31.0
2026-06-25,Capsicum,भेडे खुर्सानी,Kg,के.जी.,80.0,110.0,95.0
2026-06-25,Carrot (Local),गाँजर (लोकल),Kg,के.जी.,40.0,45.0,42.5
2026-06-25,Carrot (Nepali),गाँजर (नेपाली),Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Carrot (Terai),गाँजर (तराई),Kg,के.जी.,40.0,40.0,40.0
2026-06-25,Cauliflower (Local),काउली (स्थानीय),Kg,के.जी.,50.0,55.0,52.5
2026-06-25,Cauliflower Local (Jyapu),काउली स्थानीय (ज्यापू),Kg,के.जी.,50.0,55.0,52.5
2026-06-25,Chicken Meat (Broiler),कुखुराको मासु (बोईलर),Kg,के.जी.,380.0,400.0,390.0
2026-06-25,Chicken Meat (Local),कुखुराको मासु (लोकल),Kg,के.जी.,700.0,750.0,725.0
2026-06-25,Chilli Dry,सुकेको खुर्सानी,Kg,के.जी.,400.0,440.0,420.0
2026-06-25,Chilli Green (Akbare),खुर्सानी हरियो (अकबरे),Kg,के.जी.,300.0,350.0,325.0
2026-06-25,Chilli Green (Bullet),खुर्सानी हरियो (बुलेट),Kg,के.जी.,70.0,80.0,75.0
2026-06-25,Chilli Green (Long),खुर्सानी हरियो (लाम्चो),Kg,के.जी.,60.0,70.0,65.0
2026-06-25,Chilli Green (Machhe),खुर्सानी हरियो (माछे),Kg,के.जी.,70.0,80.0,75.0
2026-06-25,Christophine,स्कूस,Kg,के.जी.,40.0,45.0,42.5
2026-06-25,Cow Milk,गाईको दुध,Litre,लिटर,80.0,85.0,82.5
2026-06-25,Cow Pea (Long),बोडी (तने),Kg,के.जी.,34.0,35.0,34.5
2026-06-25,Cow Pea (Red),बोडी (रातो),Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Cucumber (Hybrid),काँक्रो (हाइब्रिड),Kg,के.जी.,25.0,26.0,25.5
2026-06-25,Cucumber (Local Cross),काँक्रो (स्थानीय क्रस),Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Cucumber (Local),काँक्रो (लोकल),Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Dragon Fruit (Indian),ड्रागन फ्रुट (भारतीय),Kg,के.जी.,250.0,260.0,255.0
2026-06-25,Dragon Fruit (Nepali),ड्रागन फ्रुट (नेपाली),Kg,के.जी.,320.0,350.0,335.0
2026-06-25,Fenugreek Leaf,मेथीको साग,Kg,के.जी.,40.0,45.0,42.5
2026-06-25,Fish Fresh (Rahu),ताजा माछा (रहु),Kg,के.जी.,390.0,410.0,400.0
2026-06-25,French Bean (Hybrid),घिउ सिमी (हाइब्रिड),Kg,के.जी.,45.0,50.0,47.5
2026-06-25,French Bean (Local),घिउ सिमी (लोकल),Kg,के.जी.,45.0,55.0,50.0
2026-06-25,French Bean (Rajma),घिउ सिमी (राजमा),Kg,के.जी.,45.0,50.0,47.5
2026-06-25,Garlic Dry (Chinese),सुकेको चाईनिज लसुन,Kg,के.जी.,200.0,210.0,205.0
2026-06-25,Garlic Dry (Indian),सुकेको लसुन (भारतीय),Kg,के.जी.,145.0,150.0,147.5
2026-06-25,Garlic Dry (Nepali),सुकेको नेपाली लसुन,Kg,के.जी.,140.0,150.0,145.0
2026-06-25,Ghee,घ्यु,Kg,के.जी.,1100.0,1200.0,1150.0
2026-06-25,Ginger,अदुवा,Kg,के.जी.,140.0,150.0,145.0
2026-06-25,Goat Meat,खसीको मासु,Kg,के.जी.,1100.0,1200.0,1150.0
2026-06-25,Grapes (Black),अंगुर (कालो),Kg,के.जी.,400.0,425.0,412.5
2026-06-25,Grapes (Green),अंगुर (हरियो),Kg,के.जी.,250.0,260.0,255.0
2026-06-25,Ground Jackfruit,भुँईकटहर,Kg,के.जी.,130.0,150.0,140.0
2026-06-25,Gundruk,गुन्द्रुक,Kg,के.जी.,350.0,400.0,375.0
2026-06-25,Jack Fruit,रुख कटहर,Kg,के.जी.,30.0,40.0,35.0
2026-06-25,Junar (Sweet Orange),जुनार,Kg,के.जी.,220.0,240.0,230.0
2026-06-25,Kinnow,किनु,Kg,के.जी.,200.0,225.0,212.5
2026-06-25,Lime,कागती,Kg,के.जी.,120.0,140.0,130.0
2026-06-25,Litchi (Local),लिच्ची (लोकल),Kg,के.जी.,120.0,150.0,135.0
2026-06-25,Maize Cow Pea,मकै बोडी,Kg,के.जी.,30.0,32.0,31.0
2026-06-25,Mandarin (Indian),सुन्तला (भारतीय),Kg,के.जी.,200.0,220.0,210.0
2026-06-25,Mango (Bombay),आँप (बम्बे),Kg,के.जी.,45.0,50.0,47.5
2026-06-25,Mango (Chausa),आँप (चौसा),Kg,के.जी.,50.0,55.0,52.5
2026-06-25,Mango (Dushari),आँप (दसहरी),Kg,के.जी.,55.0,60.0,57.5
2026-06-25,Mango (Kalkatte),आँप (कलकत्ते),Kg,के.जी.,30.0,40.0,35.0
