date,commodity_en,commodity_ne,unit_en,unit_ne,min,max,avg
2026-06-25,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,270.0,280.0,275.0
2026-06-25,Apple (Jhole),स्याउ (झोले),Kg,के.जी.,190.0,200.0,195.0
2026-06-25,Banana (Green),केरा (हरियो),Dozen,दर्जन,150.0,165.0,157.5
2026-06-25,Banana (Malbhog),केरा (मालभोग),Dozen,दर्जन,90.0,100.0,95.0
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Bottle Gourd,लौका,Kg,के.जी.,20.0,25.0,22.5
2026-06-25,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,55.0,60.0,57.5
2026-06-25,Buffalo Milk,भैसीको दुध,Litre,लिटर,85.0,90.0,87.5
2026-06-25,Cabbage (Terai),बन्दा (तराई),Kg,के.जी.,45.0,50.0,47.5
2026-06-25,Capsicum,भेडे खुर्सानी,Kg,के.जी.,110.0,115.0,112.5
2026-06-25,Carrot (Terai),गाँजर (तराई),Kg,के.जी.,70.0,75.0,72.5
2026-06-25,Cauliflower (Local),काउली (स्थानीय),Kg,के.जी.,90.0,100.0,95.0
2026-06-25,Cauliflower (Terai),काउली (तराई),Kg,के.जी.,65.0,70.0,67.5
2026-06-25,Chicken Meat (Broiler),कुखुराको मासु (बोईलर),Kg,के.जी.,365.0,370.0,367.5
2026-06-25,Chilli Dry,सुकेको खुर्सानी,Kg,के.जी.,250.0,260.0,255.0
2026-06-25,Chilli Green (Bullet),खुर्सानी हरियो (बुलेट),Kg,के.जी.,80.0,90.0,85.0
2026-06-25,Chilli Green (Long),खुर्सानी हरियो (लाम्चो),Kg,के.जी.,90.0,100.0,95.0
2026-06-25,Christophine,स्कूस,Kg,के.जी.,30.0,35.0,32.5
2026-06-25,Cow Milk,गाईको दुध,Litre,लिटर,80.0,85.0,82.5
2026-06-25,Cow Pea (Long),बोडी (तने),Kg,के.जी.,30.0,35.0,32.5
2026-06-25,Cucumber (Hybrid),काँक्रो (हाइब्रिड),Kg,के.जी.,20.0,25.0,22.5
2026-06-25,Cucumber (Local),काँक्रो (लोकल),Kg,के.जी.,25.0,30.0,27.5
2026-06-25,Fish Fresh (Rahu),ताजा माछा (रहु),Kg,के.जी.,370.0,380.0,375.0
2026-06-25,Garlic Dry (Chinese),सुकेको चाईनिज लसुन,Kg,के.जी.,240.0,250.0,245.0
2026-06-25,Garlic Dry (Nepali),सुकेको नेपाली लसुन,Kg,के.जी.,190.0,200.0,195.0
