date,commodity_en,commodity_ne,unit_en,unit_ne,min,max,avg
2026-06-25,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,300.0,310.0,305.0
2026-06-25,Apple (Jhole),स्याउ (झोले),Kg,के.जी.,200.0,200.0,200.0
2026-06-25,Banana (Nepali),केरा (नेपाली),Dozen,दर्जन,130.0,140.0,135.0
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,50.0,60.0,55.0
2026-06-25,Bottle Gourd,लौका,Kg,के.जी.,40.0,60.0,50.0
2026-06-25,Brinjal Round,भन्टा डल्लो,Kg,के.जी.,50.0,60.0,55.0
2026-06-25,Capsicum,भेडे खुर्सानी,Kg,के.जी.,100.0,100.0,100.0
2026-06-25,Carrot (Nepali),गाँजर (नेपाली),Kg,के.जी.,85.0,100.0,92.5
2026-06-25,Cauliflower (Local),काउली (स्थानीय),Kg,के.जी.,80.0,100.0,90.0
2026-06-25,Chilli Green (Long),खुर्सानी हरियो (लाम्चो),Kg,के.जी.,100.0,100.0,100.0
2026-06-25,Cucumber (Hybrid),काँक्रो (हाइब्रिड),Kg,के.जी.,40.0,60.0,50.0
2026-06-25,French Bean (Hybrid),घिउ सिमी (हाइब्रिड),Kg,के.जी.,70.0,80.0,75.0
2026-06-25,Garlic Dry (Chinese),सुकेको चाईनिज लसुन,Kg,के.जी.,260.0,280.0,270.0
2026-06-25,Garlic Dry (Nepali),सुकेको नेपाली लसुन,Kg,के.जी.,200.0,200.0,200.0
2026-06-25,Ginger,अदुवा,Kg,के.जी.,240.0,240.0,240.0
2026-06-25,Lime,कागती,Kg,के.जी.,220.0,240.0,230.0
2026-06-25,Mango (Dushari),आँप (दसहरी),Kg,के.जी.,100.0,120.0,110.0
2026-06-25,Okra,भिण्डी,Kg,के.जी.,50.0,60.0,55.0
2026-06-25,Onion Dry (Indian),प्याज सुकेको (भारतीय),Kg,के.जी.,45.0,56.0,50.5
2026-06-25,Potato Red (Indian),आलु रातो (भारतीय),Kg,के.जी.,26.0,36.0,31.0
2026-06-25,Potato Red (Long),रातो आलु (लाम्चो),Kg,के.जी.,34.0,50.0,42.0
2026-06-25,Snake Gourd,चिचिण्डो,Kg,के.जी.,50.0,60.0,55.0
2026-06-25,Squash (Long),फर्सी हरियो (लाम्चो),Kg,के.जी.,50.0,50.0,50.0
2026-06-25,Tomato Big (Nepali),गोलभेंडा ठुलो (नेपाली),Kg,के.जी.,35.0,50.0,42.5
2026-06-26,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,300.0,310.0,305.0
2026-06-26,Apple (Jhole),स्याउ (झोले),Kg,के.जी.,200.0,200.0,200.0
2026-06-26,Bitter Gourd,तितो करेला,Kg,के.जी.,50.0,60.0,55.0
2026-06-26,Bottle Gourd,लौका,Kg,के.जी.,40.0,50.0,45.0
2026-06-26,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,50.0,60.0,55.0
2026-06-26,Cabbage (Terai),बन्दा (तराई),Kg,के.जी.,70.0,80.0,75.0
2026-06-26,Carrot (Nepali),गाँजर (नेपाली),Kg,के.जी.,90.0,100.0,95.0
2026-06-26,Cauliflower (Terai),काउली (तराई),Kg,के.जी.,80.0,90.0,85.0
2026-06-26,Chilli Green (Bullet),खुर्सानी हरियो (बुलेट),Kg,के.जी.,100.0,100.0,100.0
2026-06-26,Coconut (Green),नरिवल (हरियो),Kg,के.जी.,75.0,80.0,77.5
2026-06-26,Cow Pea (Long),बोडी (तने),Kg,के.जी.,50.0,60.0,55.0
2026-06-26,French Bean (Hybrid),घिउ सिमी (हाइब्रिड),Kg,के.जी.,80.0,80.0,80.0
2026-06-26,Garlic Dry (Chinese),सुकेको चाईनिज लसुन,Kg,के.जी.,260.0,280.0,270.0
2026-06-26,Garlic Dry (Nepali),सुकेको नेपाली लसुन,Kg,के.जी.,200.0,200.0,200.0
2026-06-26,Ginger,अदुवा,Kg,के.जी.,240.0,300.0,270.0
2026-06-26,Lime,कागती,Kg,के.जी.,200.0,230.0,215.0
2026-06-26,Mango (Dushari),आँप (दसहरी),Kg,के.जी.,100.0,100.0,100.0
2026-06-26,Okra,भिण्डी,Kg,के.जी.,50.0,60.0,55.0
2026-06-26,Onion Dry (Indian),प्याज सुकेको (भारतीय),Kg,के.जी.,45.0,50.0,47.5
2026-06-26,Pomegranate,अनार,Kg,के.जी.,280.0,300.0,290.0
2026-06-26,Potato Red (Indian),आलु रातो (भारतीय),Kg,के.जी.,26.0,36.0,31.0
2026-06-26,Potato Red (Long),रातो आलु (लाम्चो),Kg,के.जी.,35.0,50.0,42.5
2026-06-26,Smooth Gourd,घिरौंला,Kg,के.जी.,40.0,40.0,40.0
2026-06-26,Snake Gourd,चिचिण्डो,Kg,के.जी.,50.0,60.0,55.0
2026-06-26,Squash (Long),फर्सी हरियो (लाम्चो),Kg,के.जी.,40.0,50.0,45.0
2026-06-26,Tomato Big (Nepali),गोलभेंडा ठुलो (नेपाली),Kg,के.जी.,35.0,50.0,42.5
2026-06-28,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,290.0,300.0,295.0
2026-06-28,Apple (Jhole),स्याउ (झोले),Kg,के.जी.,200.0,200.0,200.0
2026-06-28,Bitter Gourd,तितो करेला,Kg,के.जी.,60.0,64.0,62.0
2026-06-28,Bottle Gourd,लौका,Kg,के.जी.,50.0,60.0,55.0
2026-06-28,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,60.0,60.0,60.0
2026-06-28,Cabbage (Terai),बन्दा (तराई),Kg,के.जी.,70.0,70.0,70.0
2026-06-28,Capsicum,भेडे खुर्सानी,Kg,के.जी.,120.0,120.0,120.0
2026-06-28,Carrot (Terai),गाँजर (तराई),Kg,के.जी.,90.0,100.0,95.0
2026-06-28,Cauliflower (Terai),काउली (तराई),Kg,के.जी.,60.0,70.0,65.0
2026-06-28,Chilli Green (Machhe),खुर्सानी हरियो (माछे),Kg,के.जी.,100.0,100.0,100.0
2026-06-28,Coconut (Tender),नरिवल (काँचो),Kg,के.जी.,155.0,155.0,155.0
2026-06-28,Coriander Green,हरियो धनिया,Kg,के.जी.,350.0,350.0,350.0
2026-06-28,Cow Pea (Long),बोडी (तने),Kg,के.जी.,60.0,60.0,60.0
2026-06-28,Cucumber (Hybrid),काँक्रो (हाइब्रिड),Kg,के.जी.,40.0,50.0,45.0
2026-06-28,Dragon Fruit (Nepali),ड्रागन फ्रुट (नेपाली),Kg,के.जी.,350.0,350.0,350.0
2026-06-28,French Bean (Hybrid),घिउ सिमी (हाइब्रिड),Kg,के.जी.,100.0,100.0,100.0
2026-06-28,Garlic Dry (Chinese),सुकेको चाईनिज लसुन,Kg,के.जी.,200.0,200.0,200.0
2026-06-28,Garlic Dry (Nepali),सुकेको नेपाली लसुन,Kg,के.जी.,150.0,150.0,150.0
2026-06-28,Grapes (Green),अंगुर (हरियो),Kg,के.जी.,210.0,220.0,215.0
