date,commodity_en,commodity_ne,unit_en,unit_ne,min,max,avg
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,25.0,28.0,26.5
2026-06-25,Bottle Gourd,लौका,Kg,के.जी.,15.0,20.0,17.5
2026-06-25,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Broad Leaf Mustard,रायो साग,Kg,के.जी.,75.0,80.0,77.5
2026-06-25,Cabbage (Terai),बन्दा (तराई),Kg,के.जी.,40.0,45.0,42.5
2026-06-25,Capsicum,भेडे खुर्सानी,Kg,के.जी.,110.0,120.0,115.0
2026-06-25,Carrot (Terai),गाँजर (तराई),Kg,के.जी.,90.0,100.0,95.0
2026-06-25,Cauliflower (Local),काउली (स्थानीय),Kg,के.जी.,70.0,80.0,75.0
2026-06-25,Cauliflower (Terai),काउली (तराई),Kg,के.जी.,70.0,75.0,72.5
2026-06-25,Chilli Green (Akbare),खुर्सानी हरियो (अकबरे),Kg,के.जी.,180.0,200.0,190.0
2026-06-25,Chilli Green (Bullet),खुर्सानी हरियो (बुलेट),Kg,के.जी.,35.0,45.0,40.0
2026-06-25,Chilli Green (Machhe),खुर्सानी हरियो (माछे),Kg,के.जी.,60.0,70.0,65.0
2026-06-25,Coriander Green,हरियो धनिया,Kg,के.जी.,200.0,250.0,225.0
2026-06-25,Cow Pea (Long),बोडी (तने),Kg,के.जी.,20.0,25.0,22.5
2026-06-25,Cucumber (Hybrid),काँक्रो (हाइब्रिड),Kg,के.जी.,20.0,22.0,21.0
2026-06-25,Cucumber (Local),काँक्रो (लोकल),Kg,के.जी.,30.0,35.0,32.5
2026-06-25,Garlic Dry (Chinese),सुकेको चाईनिज लसुन,Kg,के.जी.,130.0,150.0,140.0
2026-06-25,Garlic Dry (Nepali),सुकेको नेपाली लसुन,Kg,के.जी.,110.0,120.0,115.0
2026-06-25,Ginger,अदुवा,Kg,के.जी.,130.0,150.0,140.0
2026-06-25,Jack Fruit,रुख कटहर,Kg,के.जी.,12.0,15.0,13.5
2026-06-25,Lime,कागती,Kg,के.जी.,220.0,250.0,235.0
2026-06-25,Litchi (Local),लिच्ची (लोकल),Kg,के.जी.,200.0,230.0,215.0
2026-06-25,Mango (Bombay),आँप (बम्बे),Kg,के.जी.,80.0,85.0,82.5
2026-06-25,Mango (Dushari),आँप (दसहरी),Kg,के.जी.,40.0,45.0,42.5
2026-06-25,Mango (Maldah),आँप (मालदह),Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Mushroom (Button),च्याउ (डल्ले),Kg,के.जी.,350.0,380.0,365.0
2026-06-25,Mushroom (Kanya),च्याउ (कन्ये),Kg,के.जी.,180.0,200.0,190.0
2026-06-25,Okra,भिण्डी,Kg,के.जी.,12.0,15.0,13.5
2026-06-25,Onion Dry (Indian),प्याज सुकेको (भारतीय),Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Pointed Gourd (Local),परवर (लोकल),Kg,के.जी.,18.0,20.0,19.0
2026-06-25,Potato Red (Indian),आलु रातो (भारतीय),Kg,के.जी.,22.0,25.0,23.5
2026-06-25,Radish White (Hybrid),मूला सेतो (हाइब्रिड),Kg,के.जी.,20.0,25.0,22.5
2026-06-25,Smooth Gourd,घिरौंला,Kg,के.जी.,20.0,25.0,22.5
2026-06-25,Sponge Gourd,झिगूनी,Kg,के.जी.,30.0,32.0,31.0
2026-06-25,Squash (Round),फर्सी हरियो (डल्लो),Kg,के.जी.,12.0,15.0,13.5
2026-06-25,Tomato Small (Local),गोलभेंडा सानो (लोकल),Kg,के.जी.,20.0,25.0,22.5
