date,commodity_en,commodity_ne,unit_en,unit_ne,min,max,avg
2026-06-25,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,250.0,300.0,275.0
2026-06-25,Apple (Jhole),स्याउ (झोले),Kg,के.जी.,250.0,270.0,260.0
2026-06-25,Asparagus,कुरीलो,Kg,के.जी.,350.0,400.0,375.0
2026-06-25,Avocado,आभोकाडो,Kg,के.जी.,800.0,800.0,800.0
2026-06-25,Banana (Green),केरा (हरियो),Dozen,दर्जन,140.0,160.0,150.0
2026-06-25,Banana (Indian),केरा (भारतीय),Dozen,दर्जन,140.0,160.0,150.0
2026-06-25,Banana (Malbhog),केरा (मालभोग),Dozen,दर्जन,140.0,170.0,155.0
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,30.0,40.0,35.0
2026-06-25,Bottle Gourd,लौका,Kg,के.जी.,40.0,50.0,45.0
2026-06-25,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,60.0,80.0,70.0
2026-06-25,Brinjal Round,भन्टा डल्लो,Kg,के.जी.,60.0,80.0,70.0
2026-06-25,Broad Leaf Mustard,रायो साग,Kg,के.जी.,60.0,80.0,70.0
2026-06-25,Broccoli,ब्रोकाउली,Kg,के.जी.,150.0,200.0,175.0
2026-06-25,Cabbage (Coconut),बन्दा (नरिवल),Kg,के.जी.,70.0,80.0,75.0
2026-06-25,Cabbage (Local),बन्दा (लोकल),Kg,के.जी.,60.0,70.0,65.0
2026-06-25,Capsicum,भेडे खुर्सानी,Kg,के.जी.,130.0,150.0,140.0
2026-06-25,Carrot (Local),गाँजर (लोकल),Kg,के.जी.,100.0,120.0,110.0
2026-06-25,Cauliflower Local (Jyapu),काउली स्थानीय (ज्यापू),Kg,के.जी.,80.0,100.0,90.0
2026-06-25,Chilli Green (Akbare),खुर्सानी हरियो (अकबरे),Kg,के.जी.,200.0,300.0,250.0
2026-06-25,Chilli Green (Bullet),खुर्सानी हरियो (बुलेट),Kg,के.जी.,100.0,120.0,110.0
2026-06-25,Chilli Green (Long),खुर्सानी हरियो (लाम्चो),Kg,के.जी.,80.0,100.0,90.0
2026-06-25,Chilli Green (Machhe),खुर्सानी हरियो (माछे),Kg,के.जी.,80.0,100.0,90.0
2026-06-25,Christophine,स्कूस,Kg,के.जी.,60.0,80.0,70.0
2026-06-25,Coconut (Green),नरिवल (हरियो),Kg,के.जी.,160.0,170.0,165.0
2026-06-25,Coriander Green,हरियो धनिया,Kg,के.जी.,150.0,200.0,175.0
2026-06-25,Cow Pea (Long),बोडी (तने),Kg,के.जी.,40.0,50.0,45.0
2026-06-25,Cucumber (Hybrid),काँक्रो (हाइब्रिड),Kg,के.जी.,60.0,80.0,70.0
2026-06-25,Cucumber (Local Cross),काँक्रो (स्थानीय क्रस),Kg,के.जी.,60.0,80.0,70.0
2026-06-25,Cucumber (Local),काँक्रो (लोकल),Kg,के.जी.,80.0,100.0,90.0
2026-06-25,Dragon Fruit (Indian),ड्रागन फ्रुट (भारतीय),Kg,के.जी.,400.0,450.0,425.0
2026-06-25,Dragon Fruit (Nepali),ड्रागन फ्रुट (नेपाली),Kg,के.जी.,500.0,500.0,500.0
2026-06-25,Drumstick,सजिवन,Kg,के.जी.,200.0,200.0,200.0
2026-06-25,Fennel Leaf,सौफको साग,Kg,के.जी.,80.0,100.0,90.0
2026-06-25,Fenugreek Leaf,मेथीको साग,Kg,के.जी.,80.0,100.0,90.0
2026-06-25,French Bean (Hybrid),घिउ सिमी (हाइब्रिड),Kg,के.जी.,60.0,80.0,70.0
2026-06-25,French Bean (Local),घिउ सिमी (लोकल),Kg,के.जी.,70.0,90.0,80.0
2026-06-25,French Bean (Rajma),घिउ सिमी (राजमा),Kg,के.जी.,150.0,180.0,165.0
2026-06-25,Garlic Dry (Chinese),सुकेको चाईनिज लसुन,Kg,के.जी.,200.0,250.0,225.0
2026-06-25,Garlic Dry (Nepali),सुकेको नेपाली लसुन,Kg,के.जी.,120.0,150.0,135.0
2026-06-25,Garlic Green,हरियो लसुन,Kg,के.जी.,80.0,100.0,90.0
2026-06-25,Ginger,अदुवा,Kg,के.जी.,160.0,220.0,190.0
2026-06-25,Grapes (Black),अंगुर (कालो),Kg,के.जी.,400.0,450.0,425.0
2026-06-25,Green Peas,मटरकोशा,Kg,के.जी.,120.0,150.0,135.0
2026-06-25,Ground Jackfruit,भुँईकटहर,Kg,के.जी.,150.0,180.0,165.0
2026-06-25,Jack Fruit,रुख कटहर,Kg,के.जी.,60.0,80.0,70.0
